#seq	f_pos	f_neg	mean_hydropathy mean_net_charge kappa
aaeA.txt 0.129032 0.112903 0.469391 0.018497 0.154394
aaeB.txt 0.102290 0.079389 0.531467 0.027195 0.190834
aaeR.txt 0.110032 0.103560 0.493815 0.009321 0.165169
aaeX.txt 0.044776 0.029851 0.665008 0.017591 0.565658
aas.txt 0.123783 0.104312 0.495302 0.024682 0.156767
aat.txt 0.102564 0.106838 0.472555 0.004258 0.171433
abgA.txt 0.068807 0.107798 0.489348 0.028648 0.160019
abgB.txt 0.070686 0.103950 0.479256 0.025785 0.172983
abgR.txt 0.102649 0.099338 0.474540 0.009215 0.192653
abgT.txt 0.053150 0.041339 0.603150 0.015944 0.139917
abrB.txt 0.045977 0.028736 0.620083 0.018967 0.211096
accA.txt 0.131661 0.144201 0.474155 0.009646 0.157217
accB.txt 0.083333 0.141026 0.501140 0.056248 0.238784
accC.txt 0.120267 0.124722 0.480747 0.001473 0.141367
accD.txt 0.128289 0.125000 0.485709 0.005121 0.124548
aceA.txt 0.085253 0.115207 0.475090 0.025838 0.162925
aceB.txt 0.106942 0.135084 0.464874 0.022952 0.158425
aceE.txt 0.109357 0.138670 0.451459 0.023234 0.139209
aceF.txt 0.115873 0.144444 0.500494 0.026644 0.149627
aceK.txt 0.115917 0.134948 0.467839 0.010643 0.168975
ackA.txt 0.095000 0.120000 0.494778 0.016405 0.148970
acnA.txt 0.105499 0.125701 0.473974 0.015535 0.163906
acnB.txt 0.101734 0.129480 0.486949 0.023876 0.163757
acpH.txt 0.108808 0.134715 0.454404 0.016004 0.159094
acpP.txt 0.064103 0.256410 0.461538 0.189002 0.254714
acpS.txt 0.142857 0.119048 0.501499 0.031263 0.184046
acpT.txt 0.082051 0.112821 0.482963 0.023761 0.221201
acrA.txt 0.100756 0.098237 0.471565 0.003069 0.147307
acrB.txt 0.077216 0.092469 0.529531 0.012758 0.163204
acrD.txt 0.079074 0.090646 0.517829 0.009105 0.168366
acrE.txt 0.098701 0.109091 0.474545 0.006687 0.140837
acrF.txt 0.070600 0.085106 0.535751 0.012478 0.165486
acrR.txt 0.120930 0.144186 0.479380 0.018148 0.140866
acrZ.txt 0.061224 0.061224 0.609524 0.004893 0.188763
acs.txt 0.095092 0.124233 0.467672 0.022419 0.171301
actP.txt 0.067395 0.049180 0.588059 0.022038 0.141279
ada.txt 0.132768 0.107345 0.461174 0.029874 0.185350
add.txt 0.087087 0.132132 0.497297 0.035204 0.132357
adeD.txt 0.071429 0.115646 0.496107 0.035719 0.155664
adeP.txt 0.044944 0.040449 0.610737 0.008615 0.172155
adeQ.txt 0.042793 0.051802 0.609960 0.006704 0.186853
adhE.txt 0.108866 0.116723 0.492655 0.002750 0.178744
adhP.txt 0.101190 0.119048 0.511442 0.011490 0.176741
adiA.txt 0.082119 0.127152 0.466181 0.037425 0.172866
adiC.txt 0.051685 0.031461 0.599151 0.021803 0.195914
adiY.txt 0.110672 0.094862 0.490953 0.021375 0.140495
adk.txt 0.144860 0.163551 0.457477 0.015408 0.149477
adrA.txt 0.102426 0.080863 0.508985 0.028480 0.198465
aegA.txt 0.103187 0.116844 0.475013 0.005045 0.172890
aer.txt 0.098814 0.096838 0.485200 0.008487 0.200476
aes.txt 0.081505 0.119122 0.478788 0.033818 0.133412
afuB.txt 0.091667 0.083333 0.568981 0.010369 0.224121
afuC.txt 0.097701 0.117816 0.479151 0.014106 0.170998
agaA.txt 0.071856 0.083832 0.521025 0.001361 0.178466
agaB.txt 0.113924 0.120253 0.486006 0.001931 0.192006
agaC.txt 0.044944 0.056180 0.588806 0.009892 0.212635
agaD.txt 0.087452 0.064639 0.562907 0.027131 0.126655
agaI.txt 0.087649 0.111554 0.491855 0.016909 0.141437
agaR.txt 0.111524 0.141264 0.474267 0.024506 0.181912
agaS.txt 0.065104 0.096354 0.505295 0.024704 0.172182
agaV.txt 0.089172 0.108280 0.525124 0.014857 0.181195
agaW.txt 0.037594 0.045113 0.615038 0.002295 0.183802
agp.txt 0.092010 0.111380 0.463923 0.015727 0.119457
ahpC.txt 0.106952 0.155080 0.469162 0.041968 0.174720
ahpF.txt 0.107486 0.130518 0.486372 0.018723 0.162948
ahr.txt 0.085546 0.103245 0.504294 0.012000 0.175745
aidB.txt 0.107209 0.103512 0.484925 0.009748 0.155033
ais.txt 0.135000 0.100000 0.475222 0.042625 0.129822
alaA.txt 0.106173 0.123457 0.481866 0.011692 0.202971
alaC.txt 0.126214 0.123786 0.479207 0.008590 0.169690
alaE.txt 0.087248 0.046980 0.564280 0.042839 0.245730
alaS.txt 0.116438 0.142694 0.466324 0.020355 0.147869
aldA.txt 0.098121 0.127349 0.493783 0.026842 0.160191
aldB.txt 0.091797 0.115234 0.487131 0.019118 0.182228
alkA.txt 0.099291 0.092199 0.495981 0.010097 0.191719
alkB.txt 0.097222 0.092593 0.468210 0.011874 0.170089
allA.txt 0.068750 0.143750 0.483611 0.064949 0.146290
allB.txt 0.105960 0.143488 0.479936 0.031902 0.178393
allC.txt 0.092457 0.124088 0.474453 0.026892 0.173179
allD.txt 0.080229 0.103152 0.484941 0.015573 0.160409
allE.txt 0.065134 0.111111 0.489698 0.039862 0.170759
allR.txt 0.092251 0.107011 0.508159 0.010602 0.164114
allS.txt 0.097403 0.100649 0.495924 0.000256 0.191843
alpA.txt 0.185714 0.085714 0.463175 0.099541 0.311607
alr.txt 0.108635 0.114206 0.488270 0.000765 0.141747
alsA.txt 0.125490 0.125490 0.490545 0.004100 0.130033
alsB.txt 0.112540 0.112540 0.501608 0.000094 0.160829
alsC.txt 0.052147 0.039877 0.614656 0.013549 0.174671
alsE.txt 0.099567 0.142857 0.488456 0.034266 0.145891
alsK.txt 0.087379 0.093851 0.495074 0.000468 0.173426
alx.txt 0.068536 0.062305 0.600312 0.010731 0.216885
amiA.txt 0.155709 0.089965 0.464629 0.076533 0.171047
amiB.txt 0.103371 0.089888 0.466991 0.017769 0.162835
amiC.txt 0.131894 0.103118 0.476712 0.031095 0.179487
amiD.txt 0.112319 0.112319 0.462319 0.006018 0.161105
amn.txt 0.095041 0.115702 0.467241 0.012980 0.176146
ampC.txt 0.087533 0.076923 0.479546 0.013623 0.134578
ampD.txt 0.092896 0.136612 0.465695 0.035280 0.150524
ampE.txt 0.091549 0.059859 0.552660 0.042479 0.141712
ampG.txt 0.059063 0.052953 0.591650 0.007763 0.172769
ampH.txt 0.103896 0.075325 0.478326 0.030827 0.144457
amtB.txt 0.046729 0.049065 0.604102 0.001588 0.182383
amyA.txt 0.080808 0.169697 0.457643 0.082431 0.163317
anmK.txt 0.070461 0.089431 0.506354 0.013385 0.143800
ansA.txt 0.073964 0.106509 0.479257 0.024059 0.212120
ansB.txt 0.091954 0.097701 0.487388 0.003862 0.165113
ansP.txt 0.066132 0.056112 0.575128 0.014591 0.215783
apaG.txt 0.056000 0.104000 0.495022 0.044326 0.229077
apaH.txt 0.100000 0.135714 0.472698 0.030299 0.170915
apbE.txt 0.099715 0.122507 0.468693 0.018043 0.134741
aphA.txt 0.105485 0.105485 0.468542 0.002953 0.206392
appA.txt 0.085648 0.092593 0.482510 0.003009 0.142358
appB.txt 0.060847 0.050265 0.594797 0.011458 0.164809
appC.txt 0.064202 0.066148 0.539732 0.002691 0.177160
appX.txt 0.066667 0.033333 0.645926 0.032278 0.178534
appY.txt 0.140562 0.112450 0.498974 0.030017 0.155588
apt.txt 0.109290 0.131148 0.502550 0.019194 0.184776
aqpZ.txt 0.043290 0.043290 0.603800 0.004944 0.133113
araA.txt 0.094000 0.114000 0.475489 0.010289 0.163709
araB.txt 0.074205 0.104240 0.498214 0.025264 0.187011
araC.txt 0.099315 0.109589 0.464954 0.000861 0.143849
araD.txt 0.082251 0.116883 0.472679 0.023413 0.199340
araE.txt 0.082627 0.061441 0.569750 0.022408 0.168350
araF.txt 0.121581 0.127660 0.479298 0.003232 0.117525
araG.txt 0.099206 0.115079 0.494312 0.009804 0.155065
araH.txt 0.063830 0.039514 0.615029 0.023652 0.253822
araJ.txt 0.058376 0.027919 0.606486 0.033086 0.188276
arcA.txt 0.130252 0.172269 0.445892 0.036099 0.180513
arcB.txt 0.115681 0.158098 0.472137 0.038398 0.170089
arfA.txt 0.208333 0.069444 0.389352 0.151724 0.219308
arfB.txt 0.200000 0.100000 0.443254 0.108600 0.163416
argA.txt 0.112867 0.128668 0.478982 0.008547 0.186052
argB.txt 0.085603 0.108949 0.523000 0.018738 0.229961
argC.txt 0.059880 0.089820 0.518097 0.021923 0.184770
argD.txt 0.081281 0.108374 0.505008 0.018026 0.199946
argE.txt 0.083551 0.122715 0.479867 0.029072 0.164634
argF.txt 0.101796 0.128743 0.476846 0.020072 0.150396
argG.txt 0.102908 0.136465 0.458762 0.028321 0.158500
argH.txt 0.102845 0.137856 0.478993 0.030669 0.170371
argI.txt 0.101796 0.131737 0.474085 0.023780 0.144237
argK.txt 0.111782 0.123867 0.478147 0.006568 0.165339
argO.txt 0.061611 0.033175 0.592628 0.031406 0.260887
argP.txt 0.111111 0.117845 0.480808 0.001515 0.173485
argR.txt 0.102564 0.134615 0.499217 0.030651 0.192414
argS.txt 0.112652 0.145581 0.471346 0.027247 0.175052
argT.txt 0.126923 0.134615 0.474316 0.007008 0.144685
ariR.txt 0.079545 0.147727 0.503409 0.062636 0.188422
arnA.txt 0.106061 0.118182 0.479630 0.002745 0.202359
arnB.txt 0.090909 0.101299 0.495094 0.001921 0.158773
arnC.txt 0.102484 0.105590 0.508109 0.004034 0.199437
arnD.txt 0.114865 0.114865 0.468881 0.008482 0.126931
arnE.txt 0.063063 0.009009 0.632032 0.059411 0.495809
arnF.txt 0.054688 0.023438 0.625781 0.036354 0.238544
arnT.txt 0.080000 0.061818 0.547697 0.021280 0.142273
aroA.txt 0.088993 0.112412 0.499454 0.019300 0.163299
aroB.txt 0.091160 0.107735 0.518692 0.012292 0.136442
aroC.txt 0.116343 0.132964 0.470329 0.011566 0.141679
aroD.txt 0.103175 0.138889 0.507231 0.029932 0.168370
aroE.txt 0.077206 0.110294 0.509763 0.026288 0.180065
aroF.txt 0.092697 0.120787 0.467041 0.022374 0.159300
aroG.txt 0.111429 0.125714 0.479746 0.007301 0.157057
aroH.txt 0.112069 0.120690 0.465006 0.001573 0.160597
aroK.txt 0.144509 0.173410 0.430957 0.026002 0.160085
aroL.txt 0.080460 0.132184 0.498404 0.049362 0.165868
aroM.txt 0.075556 0.137778 0.518469 0.054786 0.190615
aroP.txt 0.054705 0.045952 0.590250 0.012158 0.229787
arpA.txt 0.111264 0.104396 0.473260 0.014414 0.133724
arpB_1.txt 0.108280 0.101911 0.446638 0.017844 0.222411
arpB_2.txt 0.089172 0.078556 0.510970 0.020550 0.188581
arsB.txt 0.048951 0.044289 0.620098 0.007391 0.186034
arsC.txt 0.127660 0.156028 0.468873 0.023599 0.136964
arsR.txt 0.128205 0.111111 0.501709 0.021732 0.149897
artI.txt 0.115226 0.123457 0.463466 0.006504 0.131392
artJ.txt 0.111111 0.111111 0.468816 0.002700 0.134588
artM.txt 0.067568 0.049550 0.579229 0.019883 0.146436
artP.txt 0.095041 0.107438 0.485078 0.005891 0.160520
artQ.txt 0.071429 0.054622 0.579739 0.017570 0.170394
ascB.txt 0.107595 0.132911 0.460549 0.020143 0.173600
ascF.txt 0.063918 0.053608 0.588041 0.013033 0.216431
ascG.txt 0.107143 0.119048 0.492030 0.005594 0.188414
asd.txt 0.092643 0.111717 0.496761 0.016069 0.152089
aslA.txt 0.090744 0.107078 0.454144 0.009896 0.162396
aslB.txt 0.094891 0.107056 0.472749 0.000904 0.205787
asmA.txt 0.095624 0.118314 0.453088 0.019167 0.140198
asnA.txt 0.103030 0.142424 0.467845 0.030027 0.151022
asnB.txt 0.110108 0.142599 0.460449 0.024648 0.143134
asnC.txt 0.105263 0.111842 0.506871 0.002227 0.174208
asnS.txt 0.113734 0.145923 0.471412 0.028243 0.129912
aspA.txt 0.089958 0.119247 0.492655 0.025925 0.169203
aspC.txt 0.101010 0.118687 0.477609 0.014365 0.160559
aspS.txt 0.125424 0.145763 0.470603 0.016860 0.143469
asr.txt 0.186275 0.029412 0.408606 0.175557 0.200302
astA.txt 0.113372 0.127907 0.478133 0.008806 0.151790
astB.txt 0.089485 0.111857 0.469650 0.015509 0.153262
astC.txt 0.083744 0.103448 0.492857 0.012408 0.164812
astD.txt 0.085366 0.101626 0.490402 0.012098 0.208135
astE.txt 0.093168 0.111801 0.492305 0.009977 0.177705
atl.txt 0.124031 0.100775 0.455556 0.028644 0.161201
atoA.txt 0.087963 0.111111 0.519136 0.017111 0.200945
atoB.txt 0.081218 0.083756 0.529780 0.000761 0.183087
atoC.txt 0.121475 0.136659 0.481321 0.009169 0.148804
atoD.txt 0.086364 0.118182 0.517273 0.027638 0.189998
atoE.txt 0.054545 0.050000 0.587045 0.007627 0.156747
atoS.txt 0.090461 0.105263 0.496290 0.010047 0.153023
atpA.txt 0.103314 0.115010 0.495018 0.008609 0.157350
atpB.txt 0.051661 0.059041 0.589709 0.001168 0.205170
atpC.txt 0.093525 0.136691 0.489448 0.032723 0.176918
atpD.txt 0.100000 0.143478 0.486908 0.039805 0.175211
atpE.txt 0.037975 0.063291 0.640788 0.025287 0.198631
atpF.txt 0.160256 0.166667 0.476282 0.004982 0.131111
atpG.txt 0.125436 0.111498 0.474758 0.017074 0.161784
atpH.txt 0.107345 0.146893 0.506968 0.037068 0.188943
atpI.txt 0.079365 0.015873 0.645591 0.067274 0.215565
avtA.txt 0.093525 0.115108 0.492752 0.016280 0.171682
azoR.txt 0.089552 0.119403 0.507407 0.026227 0.149861
azuC.txt 0.250000 0.035714 0.436508 0.213012 0.240531
bacA.txt 0.065934 0.058608 0.603378 0.013164 0.189277
baeR.txt 0.137500 0.158333 0.468750 0.017251 0.175752
baeS.txt 0.115632 0.115632 0.476921 0.005087 0.138318
bamA.txt 0.102469 0.133333 0.446337 0.028541 0.158265
bamB.txt 0.068878 0.107143 0.500992 0.035227 0.131281
bamC.txt 0.090116 0.101744 0.470543 0.010295 0.184108
bamD.txt 0.110204 0.114286 0.446168 0.002232 0.126496
bamE.txt 0.070796 0.053097 0.490364 0.019278 0.175284
barA.txt 0.094771 0.126362 0.487848 0.025038 0.154186
basR.txt 0.112613 0.139640 0.483283 0.019513 0.267208
basS.txt 0.101928 0.121212 0.494490 0.011418 0.168593
bax.txt 0.164234 0.047445 0.438402 0.120864 0.179941
bcp.txt 0.108974 0.166667 0.452066 0.048978 0.144447
bcr.txt 0.058081 0.030303 0.605387 0.031712 0.209453
bcsA.txt 0.108945 0.077982 0.506498 0.037756 0.197910
bcsB.txt 0.089859 0.100128 0.486008 0.007883 0.131365
bcsC.txt 0.107174 0.114952 0.434246 0.005503 0.143229
bcsE.txt 0.097514 0.108987 0.474761 0.005952 0.164483
bcsF.txt 0.222222 0.063492 0.514991 0.162017 0.175806
bcsG.txt 0.067979 0.078712 0.502485 0.005293 0.176000
bcsQ.txt 0.074380 0.111570 0.484022 0.029931 0.180369
bcsZ.txt 0.119565 0.111413 0.446467 0.009318 0.128799
bdcA.txt 0.097046 0.101266 0.513502 0.000905 0.177111
bdcR.txt 0.111675 0.116751 0.481444 0.001516 0.177801
bdm.txt 0.028169 0.154930 0.471362 0.119890 0.258252
bepA.txt 0.098563 0.098563 0.457426 0.003498 0.164633
betA.txt 0.093525 0.125899 0.448042 0.025447 0.169564
betB.txt 0.095918 0.120408 0.491202 0.021800 0.159923
betI.txt 0.123077 0.092308 0.468889 0.038218 0.164722
betT.txt 0.072378 0.076809 0.537469 0.000644 0.165037
bfd.txt 0.156250 0.109375 0.458681 0.048730 0.268844
bfr.txt 0.113924 0.202532 0.447539 0.080883 0.170671
bglA.txt 0.114823 0.139875 0.449826 0.019648 0.180695
bglB.txt 0.093617 0.127660 0.466217 0.026075 0.202229
bglF.txt 0.059200 0.072000 0.568551 0.009325 0.170036
bglG.txt 0.111511 0.118705 0.477338 0.001415 0.152294
bglH.txt 0.104089 0.126394 0.434614 0.019607 0.121942
bglJ.txt 0.137778 0.102222 0.476741 0.041463 0.220470
bglX.txt 0.112418 0.122876 0.471111 0.007332 0.142021
bhsA.txt 0.082353 0.070588 0.503268 0.014595 0.239368
bioA.txt 0.079254 0.109557 0.502305 0.023105 0.179726
bioB.txt 0.104046 0.127168 0.457514 0.020295 0.181066
bioC.txt 0.095618 0.091633 0.465029 0.017189 0.191213
bioD.txt 0.071111 0.088889 0.501778 0.013742 0.175980
