DksA 0.165563 0.211921 0.403826 0.043834 0.161506
Fis 0.132653 0.102041 0.441043 0.030608 0.312149
HNS 0.167883 0.182482 0.416545 0.014718 0.212044
Lrp 0.158537 0.140244 0.453388 0.020909 0.148462
NusA 0.117172 0.197980 0.469113 0.078903 0.167257
NusB 0.143885 0.143885 0.475620 0.001540 0.175065
NusG 0.143646 0.149171 0.456538 0.001455 0.201781
RL3 0.148325 0.100478 0.473897 0.051307 0.193160
RL4 0.159204 0.119403 0.473853 0.043412 0.190201
RL13 0.176056 0.105634 0.439984 0.082244 0.175748
RS4 0.203883 0.121359 0.426214 0.085881 0.151954
RS10 0.165049 0.135922 0.460841 0.036202 0.151546
RelA 0.125000 0.138441 0.462515 0.004785 0.176787
RpoA 0.118541 0.173252 0.474704 0.049115 0.171913
RpoB 0.126677 0.159463 0.456168 0.029462 0.161565
RpoC 0.132196 0.135039 0.473363 0.000478 0.179450
RpoD 0.130506 0.203915 0.434566 0.069889 0.247973
RpoZ 0.142857 0.186813 0.441758 0.043780 0.170432
SpoT 0.133903 0.121083 0.463090 0.021074 0.167035
SuhB 0.116105 0.119850 0.480982 0.000210 0.203789
